sigma_b,mu_target,cv_target,autocorr_target,variance,fano_factor,success,biologically_appropriate,error_type,error_message,rho,sigma_u,d,cv_bin,result_category,fano_factor_category,cv_binned,success_and_bio,overall_score
0.01,1.0,0.1,0.1,0.010000000000000002,0.010000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.1,1.0,0.010000000000000002,0.010000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.1,10.0,0.010000000000000002,0.010000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.1,100.0,0.010000000000000002,0.010000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.2,0.1,0.04000000000000001,0.04000000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.2,1.0,0.04000000000000001,0.04000000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.2,10.0,0.04000000000000001,0.04000000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.2,100.0,0.04000000000000001,0.04000000000000001,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.30000000000000004,0.1,0.09000000000000002,0.09000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
0.01,1.0,0.30000000000000004,1.0,0.09000000000000002,0.09000000000000002,False,True,value_error,Could not find a valid solution for parameter d,,,,"(0.1, 0.6]",Bio-appropriate but Failed,<1 (Low),"(0.1, 0.5]",False,1
