dataset_id,dataset_name,has_log,condition,strain_id,tf_identity,timepoints,classification,is_tf_localisation,tf_localisation_reason,reason,channels,all_channels,provenance,raw_llm_response
2493,Ramp_0d5to0pGlc_5h_Msn2Dot6Mig1_EarlyStart_00,True,0.5% glucose to 0% glucose,1352;762;742,Msn2;Dot6;Mig1,192,YES,YES,"Known TF(s) detected: Msn2, Dot6, Mig1",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ramp_0d5to0pglc_5h_msn2dot6mig1_earlystart.log.,GFP_Z;GFP;cy5;mCherry_Z;mCherry,Brightfield;GFP_Z;GFP;cy5;mCherry_Z;mCherry,condition=llm | strain=group-lines | tf=dataset-name | fluorescence=parsed-channels | tf_localisation=known-tf,"[condition]
0.5% glucose to 0% glucose"
683,Aya_00,True,,,UNKNOWN,180,YES,NO,"The log indicates Brightfield and GFP imaging with a pHluorin microscope config file but names no transcription factor, suggesting this is not TF localisation.",Fluorescence channel(s) found in parsed acquisition metadata.,GFP,Brightfield;GFP,condition=none | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: The log indicates Brightfield and GFP imaging with a pHluorin microscope config file but names no transcription factor, suggesting this is not TF localisation."
2717,10xgraticule_00,True,,,UNKNOWN,180,YES,NO,This is a graticule calibration image in BrightfieldGFP with no yeast transcription factor or nuclear-localisation reporter being tracked.,Fluorescence channel(s) found in parsed acquisition metadata.,GFP,BrightfieldGFP,condition=none | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a graticule calibration image in BrightfieldGFP with no yeast transcription factor or nuclear-localisation reporter being tracked."
560,pypipeline_unit_test_reconstituted_00,True,,365;group 1: pos001;group 2: pos002,UNKNOWN,2,YES,NO,The log only indicates a generic GFP channel and strain 365 with no named transcription factor or nuclear-localisation reporter being tracked.,Fluorescence channel(s) found in parsed acquisition metadata.,GFP,GFP;Brightfield,"condition=none | strain=details,strain-field-labels,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: The log only indicates a generic GFP channel and strain 365 with no named transcription factor or nuclear-localisation reporter being tracked."
561,BABY_Raff_00,True,,605;625;group 1: YST_605;group 2: YST_625,UNKNOWN,180,YES,NO,This experiment aims to measure growth rate in raffinose using BABY and the log shows only brightfield/GFP/mCherry channels with no named transcription factor or nuclear-localisation reporter being tracked.,Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: baby_rafflog.txt.,GFP;mCherry,Brightfield;GFP;mCherry,"condition=none | strain=position-names,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment aims to measure growth rate in raffinose using BABY and the log shows only brightfield/GFP/mCherry channels with no named transcription factor or nuclear-localisation reporter being tracked."
2718,60xgraticule_01,True,,,UNKNOWN,180,YES,NO,This is a graticule slide calibration image in Brightfield/GFP with no yeast transcription factor or nuclear-localisation reporter being tracked.,Fluorescence channel(s) found in parsed acquisition metadata.,GFP,BrightfieldGFP,condition=none | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a graticule slide calibration image in Brightfield/GFP with no yeast transcription factor or nuclear-localisation reporter being tracked."
2719,60xgraticule_00,True,,,UNKNOWN,180,YES,NO,This is a graticule slide calibration image with Brightfield/GFP settings and no transcription factor or nuclear-localisation reporter being tracked.,Fluorescence channel(s) found in parsed acquisition metadata.,GFP,BrightfieldGFP,condition=none | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
UNKNOWN

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a graticule slide calibration image with Brightfield/GFP settings and no transcription factor or nuclear-localisation reporter being tracked."
534,itch_2_0glu_0_0glu_URA7young_URA8young_URA8old_secondRun_01,False,,,UNKNOWN,,NO,NO,"This dataset appears to track URA7/URA8 proteins, which are metabolic enzymes rather than transcription factors or nuclear-localisation reporters, so it is not a TF localisation experiment.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This dataset appears to track URA7/URA8 proteins, which are metabolic enzymes rather than transcription factors or nuclear-localisation reporters, so it is not a TF localisation experiment."
535,u_URA7young_URA8young_URA8old_secondRun_01,False,,,UNKNOWN,,NO,NO,"URA7 and URA8 are metabolic enzymes involved in CTP synthesis, not transcription factors or nuclear-localisation reporters, so this is not a TF localisation experiment.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: URA7 and URA8 are metabolic enzymes involved in CTP synthesis, not transcription factors or nuclear-localisation reporters, so this is not a TF localisation experiment."
576,pHCalibrate7_24_7_75_00,True,pH 7.24 to 7.75,,UNKNOWN,1,NO,NO,"This is a pH calibration experiment using the pHluorin sensor and brightfield, not tracking a transcription factor’s nuclear/cytoplasmic localisation.",Fluorescence channel(s) found in parsed acquisition metadata.,pHluorin405;pHluorin488;GFPFast,brightfield1;Brightfield;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast,condition=llm | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
pH 7.24 to 7.75

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a pH calibration experiment using the pHluorin sensor and brightfield, not tracking a transcription factor’s nuclear/cytoplasmic localisation."
577,pHCalibrate6_7_00,True,pH 6 to pH 7,,UNKNOWN,180,YES,NO,"This is a pH calibration experiment using the pHluorin sensor and brightfield, not fluorescently tagged transcription factors tracked for nuclear localisation.",Fluorescence channel(s) found in parsed acquisition metadata.,pHluorin405;pHluorin488;GFPFast,brightfield1;Brightfield;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast,condition=llm | strain=none | tf=none | fluorescence=parsed-channels | tf_localisation=llm,"[condition]
pH 6 to pH 7

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This is a pH calibration experiment using the pHluorin sensor and brightfield, not fluorescently tagged transcription factors tracked for nuclear localisation."
583,pH_med_to_high_00,True,pH 4.21 to pH 7.51,247;1510;1511;1512;1513,UNKNOWN,180,YES,NO,"This experiment uses pHluorin in ion channel deletion strains to measure pH changes, not a fluorescently tagged transcription factor's nuclear localisation.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ph_med_to_high.log;ph_med_to_high_original.log.,pHluorin405;pHluorin488;GFPFast;cy5,brightfield1;Brightfield;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast;cy5,"condition=llm | strain=yst-refs,position-names | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[condition]
pH 4.21 to pH 7.51

[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment uses pHluorin in ion channel deletion strains to measure pH changes, not a fluorescently tagged transcription factor's nuclear localisation."
581,pH_med_to_low_00,True,normal pH (4.25) media to higher pH (5.69),247;1510;1511;1512;1513;group 1: YST_247/YST_1511/YST_1512/YST_1513/YST_1510,UNKNOWN,180,YES,NO,"This experiment uses pHluorin channels to measure cytoplasmic pH changes after a media pH switch, not the nuclear-cytoplasmic localisation of a transcription factor.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ph_med_to_low.log;ph_med_to_low_o.log;ph_med_to_low_original.log.,GFP;mCherry;cy5;pHluorin405;pHluorin488;GFPFast,Brightfield;GFP;mCherry;cy5;brightfield1;pHluorin405_0_4;pHluorin405;pHluorin488_0_4;GFPFast,"condition=switch-phrase | strain=yst-refs,position-names,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment uses pHluorin channels to measure cytoplasmic pH changes after a media pH switch, not the nuclear-cytoplasmic localisation of a transcription factor."
469,morph_5cham_hog1_lte1_htb2_vph1_bud3_01,True,,Hog1-GFP;Lte1-GFP;Htb2-GFP;Vph1-GFP;Bud3-GFP;group 1: pos001/pos002/pos003/pos004;group 2: pos005/pos006/pos007/pos008;group 3: pos009/pos010/pos011/pos012;group 4: pos013/pos014/pos015/pos016;group 5: pos017/pos018/pos019/pos020,Hog1,240,YES,YES,Known TF(s) detected: Hog1,Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: morph_5cham_hog1_lte1_htb2_vph1_bud3log.txt.,GFP,Brightfield;GFP,"condition=none | strain=strain-field-labels,point-groups | tf=details,dataset-name,tagged-proteins | fluorescence=parsed-channels | tf_localisation=known-tf","[condition]
UNKNOWN"
470,pH_med_to_low_00,True,normal pH (4.25) media to higher pH (5.69),1510;247;1511;1512;1513;group 1: YST_247/YST_1511/YST_1512/YST_1513/YST_1510,UNKNOWN,180,YES,NO,"This experiment uses the pHluorin sensor to measure cytoplasmic pH, not a fluorescently tagged transcription factor shuttling between nucleus and cytoplasm.",Fluorescence channel(s) found in parsed acquisition metadata. Metadata truncated: ph_med_to_low_original.log;ph_med_to_low.log.,pHluorin405;pHluorin488;cy5,brightfield1;pHluorin405_0_4;pHluorin488_0_4;cy5;Brightfield,"condition=switch-phrase | strain=yst-refs,position-names,point-groups | tf=none | fluorescence=parsed-channels | tf_localisation=llm","[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This experiment uses the pHluorin sensor to measure cytoplasmic pH, not a fluorescently tagged transcription factor shuttling between nucleus and cytoplasm."
537,aggregates_CTP_switch_2_0glu_0_0glu_URA7young_URA8young_URA8old_01,False,,,UNKNOWN,,NO,NO,"This dataset appears to track Ura7/Ura8 metabolic enzyme aggregation or localisation under glucose conditions, and Ura7/Ura8 are not transcription factors.",No log or acquisition metadata was attached.,UNKNOWN,,condition=none | strain=none | tf=none | fluorescence=no-metadata | tf_localisation=llm,"[tf-identity]
UNKNOWN

[tf-localisation]
TF_LOCALISATION: NO
REASON: This dataset appears to track Ura7/Ura8 metabolic enzyme aggregation or localisation under glucose conditions, and Ura7/Ura8 are not transcription factors."
