Finding parameters where all CV ratios are biologically appropriate...

Testing parameters: CV normal = 0.80, Mean = 15.00
✅ System is biologically appropriate with Fano factor: 9.60, CV: 0.80
Checking all CV ratios:   0%|          | 0/150 [00:00<?, ?it/s]✅ System is biologically appropriate with Fano factor: 2.40, CV: 0.40
✅ System is biologically appropriate with Fano factor: 2.50, CV: 0.41
✅ System is biologically appropriate with Fano factor: 2.60, CV: 0.42
✅ System is biologically appropriate with Fano factor: 2.70, CV: 0.42
✅ System is biologically appropriate with Fano factor: 2.80, CV: 0.43
✅ System is biologically appropriate with Fano factor: 2.90, CV: 0.44
✅ System is biologically appropriate with Fano factor: 3.01, CV: 0.45
✅ System is biologically appropriate with Fano factor: 3.12, CV: 0.46
✅ System is biologically appropriate with Fano factor: 3.23, CV: 0.46
✅ System is biologically appropriate with Fano factor: 3.34, CV: 0.47
✅ System is biologically appropriate with Fano factor: 3.46, CV: 0.48
✅ System is biologically appropriate with Fano factor: 3.57, CV: 0.49
✅ System is biologically appropriate with Fano factor: 3.69, CV: 0.50
✅ System is biologically appropriate with Fano factor: 3.81, CV: 0.50
✅ System is biologically appropriate with Fano factor: 3.93, CV: 0.51
✅ System is biologically appropriate with Fano factor: 4.06, CV: 0.52
✅ System is biologically appropriate with Fano factor: 4.18, CV: 0.53
✅ System is biologically appropriate with Fano factor: 4.31, CV: 0.54
✅ System is biologically appropriate with Fano factor: 4.44, CV: 0.54
✅ System is biologically appropriate with Fano factor: 4.57, CV: 0.55
✅ System is biologically appropriate with Fano factor: 4.70, CV: 0.56
✅ System is biologically appropriate with Fano factor: 4.84, CV: 0.57
✅ System is biologically appropriate with Fano factor: 4.98, CV: 0.58
✅ System is biologically appropriate with Fano factor: 5.12, CV: 0.58
✅ System is biologically appropriate with Fano factor: 5.26, CV: 0.59
✅ System is biologically appropriate with Fano factor: 5.40, CV: 0.60
✅ System is biologically appropriate with Fano factor: 5.54, CV: 0.61
✅ System is biologically appropriate with Fano factor: 5.69, CV: 0.62
