mu_target,t_ac_target,cv_target,sigma_sum,success,error_message,rho,d,sigma_b,sigma_u,mu_observed,cv_observed,t_ac_observed,variance_observed,mean_rel_error_pct,cv_rel_error_pct,t_ac_rel_error_pct,trajectory_filename
1.0,0.5,0.5,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = -0.75. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,0.5,1.0,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = 0.0. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,0.5,1.5,1,False,"Back-substitution check failed: μ_err=0.00e+00, CV_err=0.00e+00, AC_err=1.65e+02. Try adjusting Σ so that t̃≈1, or relax targets.",,,,,,,,,,,,
1.0,0.5,2.0,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,2.5,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,3.0,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,3.5,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,4.0,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,4.5,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,0.5,5.0,1,False,Could not find a valid solution for d_tilda using root_scalar method.,,,,,,,,,,,,
1.0,11.555555555555555,0.5,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = -0.75. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,11.555555555555555,1.0,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = 0.0. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,11.555555555555555,1.5,1,True,,1.4552792163114128,0.09123520724951693,0.06269257900952092,0.9373074209904791,0.9497131147540984,1.5102337447857994,10.60505369151468,2.0571843439263637,5.028688524590164,0.6822496523866277,8.225496900353729,mRNA_trajectories_1.000_1.500_11.556.csv
1.0,11.555555555555555,2.0,1,True,,3.3717832161243377,0.09294580403108448,0.027565771010011758,0.9724342289899882,0.901491935483871,2.0956282125656784,11.957882384727581,3.569046161225286,9.850806451612904,4.781410628283922,3.4816744832194533,mRNA_trajectories_1.000_2.000_11.556.csv
1.0,11.555555555555555,2.5,1,True,,5.835932105386948,0.09374913686191164,0.01606412397693507,0.9839358760230649,1.00812,2.475585339926245,11.713108657989007,6.2284540656,0.8119999999999905,0.9765864029501969,1.3634403095202576,mRNA_trajectories_1.000_2.500_11.556.csv
1.0,11.555555555555555,3.0,1,True,,8.84769706548996,0.09418856283221785,0.010645545630127422,0.9893544543698727,1.01116,2.8918601236188652,13.226990518973407,8.5505554544,1.1160000000000059,3.6046625460378254,14.464341029577563,mRNA_trajectories_1.000_3.000_11.556.csv
1.0,11.555555555555555,3.5,1,True,,12.40706830581411,0.09445455557666212,0.007612963292254908,0.9923870367077451,0.9318253968253968,3.6232801530571064,13.150870997420174,11.399161747291512,6.817460317460322,3.5222900873458967,13.805614400751509,mRNA_trajectories_1.000_3.500_11.556.csv
1.0,11.555555555555555,4.0,1,True,"Tolerance exceeded: mean=4.2%, cv=5.8%, ac=22.0%",16.514041757762786,0.09462760986017421,0.005730130227852454,0.9942698697721475,1.0418650793650794,4.230611174096641,14.094865868512864,19.42804890243134,4.186507936507944,5.7652793524160195,21.974800785207478,mRNA_trajectories_1.000_4.000_11.556.csv
1.0,11.555555555555555,4.5,1,True,,21.168615484043784,0.09474644365648316,0.004475797849316124,0.9955242021506839,1.0084920634920636,4.4019544965712125,13.282578841024234,19.707705662635423,0.8492063492063551,2.1787889650841663,14.945393816555875,mRNA_trajectories_1.000_4.500_11.556.csv
1.0,11.555555555555555,5.0,1,True,,26.370788466564054,0.0948315386625622,0.003596082793762524,0.9964039172062376,1.0547222222222221,4.934769767276259,12.544905467840787,27.090061033950615,5.472222222222212,1.3046046544748258,8.561681933237578,mRNA_trajectories_1.000_5.000_11.556.csv
1.0,22.61111111111111,0.5,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = -0.75. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,22.61111111111111,1.0,1,False,"Invalid parameters: v = (mu_target * cv_target ** 2) - 1 must be positive, got v = 0.0. Reconsider mu_target and cv_target choices.",,,,,,,,,,,,
1.0,22.61111111111111,1.5,1,True,,1.3521024087378142,0.04537884832791742,0.03356169476118197,0.966438305238818,0.9483620689655172,1.5142609986251636,20.821976505296888,2.062290420630202,5.163793103448278,0.9507332416775741,7.912634620308601,mRNA_trajectories_1.000_1.500_22.611.csv
1.0,22.61111111111111,2.0,1,True,,3.1831591201275256,0.04578978003188133,0.014385011337430998,0.985614988662569,0.9543803418803419,1.9982398531849386,21.885471837604303,3.636957308331507,4.561965811965807,0.08800734075307126,3.2092154602266674,mRNA_trajectories_1.000_2.000_22.611.csv
1.0,22.61111111111111,2.5,1,True,,5.537382986457059,0.04598127783312936,0.008303792232826793,0.9916962077671733,0.8598085106382979,2.6112895523218604,24.999732441569442,5.0409633675871435,14.019148936170211,4.451582092874418,10.563927260012276,mRNA_trajectories_1.000_2.500_22.611.csv
1.0,22.61111111111111,3.0,1,True,,8.414770790007962,0.046085643334217954,0.005476755634145365,0.9945232443658547,0.9826483050847458,2.9452502138200964,24.13868323669463,8.376076037327636,1.7351694915254234,1.824992872663452,6.755847238452906,mRNA_trajectories_1.000_3.000_22.611.csv
